Branch,Depot,Line,Direction,W,Distance,Lon,Lat
416,77610,262,22,0,2460,139.7648457,35.69974136
416,77610,262,22,0,2461,139.76483525,35.69974373
416,77610,262,22,0,2462,139.7648248,35.69974609
416,77610,262,22,0,2463,139.76481435,35.69974846
416,77610,262,22,0,2464,139.76480391,35.69975082
416,77610,262,22,0,2465,139.76479346,35.69975319
416,77610,262,22,0,2466,139.76478301,35.69975554
416,77610,262,22,0,2467,139.76477255,35.69975788
416,77610,262,22,0,2468,139.7647621,35.69976022
416,77610,262,22,0,2469,139.76475164,35.69976256
416,77610,262,22,0,2470,139.76474119,35.6997649
416,77610,262,22,0,2471,139.76473073,35.69976724
416,77610,262,22,0,2472,139.76472028,35.69976958
416,77610,262,22,0,2473,139.76470982,35.69977192
416,77610,262,22,0,2474,139.76469937,35.69977426
416,77610,262,22,0,2475,139.76468891,35.69977661
416,77610,262,22,0,2476,139.76467846,35.69977895
416,77610,262,22,0,2477,139.764668,35.69978129
416,77610,262,22,0,2478,139.76465755,35.69978363
416,77610,262,22,0,2479,139.76464709,35.69978597
416,77610,262,22,0,2480,139.76463664,35.69978831
416,77610,262,22,0,2481,139.76462618,35.69979065
416,77610,262,22,0,2482,139.76461573,35.69979299
416,77610,262,22,0,2483,139.76460527,35.69979533
416,77610,262,22,0,2484,139.76459482,35.69979767
416,77610,262,22,0,2485,139.76458436,35.69980001
416,77610,262,22,0,2486,139.76457391,35.69980235
416,77610,262,22,0,2487,139.76456345,35.69980469
416,77610,262,22,0,2488,139.764553,35.69980703
416,77610,262,22,0,2489,139.76454254,35.69980937
416,77610,262,22,0,2490,139.76453209,35.69981172
416,77610,262,22,0,2491,139.76452163,35.69981406
416,77610,262,22,0,2492,139.76451118,35.6998164
416,77610,262,22,0,2493,139.76450072,35.69981874
416,77610,262,22,0,2494,139.76449027,35.69982108
416,77610,262,22,0,2495,139.76447981,35.69982342
416,77610,262,22,0,2496,139.76446936,35.69982576
416,77610,262,22,0,2497,139.7644589,35.69982811
416,77610,262,22,0,2498,139.76444844,35.69983046
416,77610,262,22,0,2499,139.76443799,35.69983281
416,77610,262,22,0,2500,139.76442753,35.69983516
416,77610,262,22,0,2501,139.76441707,35.69983752
416,77610,262,22,0,2502,139.76440661,35.69983987
416,77610,262,22,0,2503,139.76439616,35.69984222
416,77610,262,22,0,2504,139.76438571,35.69984457
416,77610,262,22,0,2505,139.76437526,35.69984692
416,77610,262,22,0,2506,139.76436481,35.69984927
416,77610,262,22,0,2507,139.76435436,35.69985162
